code,name,description,refreshed_at,from_date,to_date
BYW6_X,Baywa Vna (BYW6_X),Stock Prices for Baywa Vna (BYW6) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005194062,2019-04-12 22:53:20,2000-11-06,2019-04-12
CBK_X,Commerzbank (CBK_X),Stock Prices for Commerzbank (CBK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CBK1001,2019-04-12 22:53:20,2000-01-18,2019-04-12
CEV_X,Centrotec Sustainable (CEV_X),Stock Prices for Centrotec Sustainable (CEV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005407506,2019-04-12 22:53:20,2000-01-14,2019-04-12
CLS1_X,Celesio (CLS1_X),Stock Prices for Celesio (CLS1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CLS1001,2017-04-28 22:28:59,2000-01-18,2017-04-28
COK_X,Cancom Se (COK_X),Stock Prices for Cancom Se (COK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005419105,2019-04-12 22:53:20,2000-03-20,2019-04-12
COM_X,comdirect bank AG (COM_X),Stock Prices for comdirect bank AG (COM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005428007,2019-04-12 22:53:20,2000-06-06,2019-04-12
CON_X,Continental (CON_X),Stock Prices for Continental (CON) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005439004,2019-04-12 22:53:20,2000-01-18,2019-04-12
COP_X,Compugroup Medical (COP_X),Stock Prices for Compugroup Medical (COP) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005437305,2019-04-12 22:53:20,2000-01-03,2019-04-12
CWC_X,Cewe Stiftung & Co. Kgaa (CWC_X),Stock Prices for Cewe Stiftung & Co. Kgaa (CWC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005403901,2019-04-12 22:53:20,2005-05-02,2019-04-12
DAI_X,Daimler (DAI_X),Stock Prices for Daimler (DAI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007100000,2019-04-12 22:53:20,2000-01-20,2019-04-12
DB1_X,Deutsche Börse (DB1_X),Stock Prices for Deutsche Börse (DB1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005810055,2019-04-12 22:53:20,2001-02-05,2019-04-12
DBAN_X,Deutsche Beteiligungs AG (DBAN_X),Stock Prices for Deutsche Beteiligungs AG (DBAN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1TNUT7,2019-04-12 22:53:20,2000-01-10,2019-04-12
DBK_X,Deutsche Bank (DBK_X),Stock Prices for Deutsche Bank (DBK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005140008,2019-04-12 22:53:20,2000-01-18,2019-04-12
DEQ_X,Deutsche Euroshop (DEQ_X),Stock Prices for Deutsche Euroshop (DEQ) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007480204,2019-04-12 22:53:20,2001-01-02,2019-04-12
DEX_X,Delticom (DEX_X),Stock Prices for Delticom (DEX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005146807,2019-04-12 22:53:20,2006-10-26,2019-04-12
DEZ_X,Deutz (DEZ_X),Stock Prices for Deutz (DEZ) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006305006,2019-04-12 22:53:20,2000-01-03,2019-04-12
DIC_X,DIC Asset AG (DIC_X),Stock Prices for DIC Asset AG (DIC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1X3XX4,2019-04-12 22:53:20,2005-12-26,2019-04-12
DLG_X,Dialog Semiconductor Plc (DLG_X),Stock Prices for Dialog Semiconductor Plc (DLG) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB0059822006,2019-04-12 22:53:25,2000-01-17,2019-04-12
DPW_X,Deutsche Post (DPW_X),Stock Prices for Deutsche Post (DPW) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005552004,2019-04-12 22:53:20,2000-11-20,2019-04-12
DRI_X,Drillisch (DRI_X),Stock Prices for Drillisch (DRI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005545503,2019-04-12 22:53:20,2000-01-18,2019-04-12
DRW3_X,Drägerwerk  & Co. Kgaa Vz (DRW3_X),Stock Prices for Drägerwerk  & Co. Kgaa Vz (DRW3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005550636,2019-04-12 22:53:20,2000-03-20,2019-04-12
DTE_X,Deutsche Telekom (DTE_X),Stock Prices for Deutsche Telekom (DTE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005557508,2019-04-12 22:53:25,2000-01-18,2019-04-12
DUE_X,Dürr (DUE_X),Stock Prices for Dürr (DUE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005565204,2019-04-12 22:53:20,2000-01-06,2019-04-12
DWNI_X,Deutsche Wohnen (DWNI_X),Stock Prices for Deutsche Wohnen (DWNI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0HN5C6,2019-04-12 22:53:25,2006-07-03,2019-04-12
EOAN_X,E.on Se (EOAN_X),"Stock Prices for E.on Se from the Frankfurt Stock Exchange. Trading System: Xetra. E.ON is one of the world's largest investor-owned power and gas companies. At facilities across Europe, Russia, and North America, our roughly 72,000 employees generate about EUR132 billion in sales. We have an ambitious objective: to make energy cleaner and better wherever we operate. Going forward, we intend to expand our business outside Europe. Our new strategy, whose motto is cleaner & better energy, will transform E.ON into a global provider of specialized energy solutions. The new E.ON will benefit our employees, customers, and investors alike.",2017-04-11 22:28:49,2000-01-18,2017-04-11
EON_X,E.on Se (EON_X),Stock Prices for E.on Se (EON) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000ENAG999,2019-04-12 22:53:20,2003-01-20,2019-04-12
